ItemName	Type
Item_LingStone	原料
Item_LingCrystal	原料
Item_BrownRock	原料
Item_GrayRock	原料
Item_Marble	原料
Item_Jade	原料
Item_JadeEssence	原料
Item_StoneEssence	原料
Item_SkyStone	原料
Item_IronRock	原料
Item_CopperRock	原料
Item_SilverRock	原料
Item_DarksteelRock	原料
Item_Wood	原料
Item_HardWood	原料
Item_ParasolWood	原料
Item_LingWood	原料
Item_SilverGrit	原料
Item_CopperGrit	原料
Item_Cinnabar	原料
Item_LingMuXueJie	原料
Item_EarthEssence_1	原料
Item_EarthEssence1_1	原料
Item_Ginkgo	原料
Item_SnakeGallbladder	原料
Item_BearGallbladder	原料
Item_Healroot	原料
Item_Grass	原料
Item_Cotton	原料
Item_Shit	原料
Item_DragonShit	原料
Item_IronBlock	材料
Item_CopperBlock	材料
Item_SilverBlock	材料
Item_CopperBlock1	材料
Item_SilverBlock1	材料
Item_DarksteelBlock	材料
Item_StarEssenceBlock	材料
Item_BrownRockBlock	材料
Item_GrayRockBlock	材料
Item_MarbleBlock	材料
Item_JadeBlock	材料
Item_SkyStoneBlock	材料
Item_LingStoneBlock	材料
Item_LingCrystalBlock	材料
Item_RoughWoodBlock	材料
Item_HardWoodBlock	材料
Item_ParasolWoodBlock	材料
Item_LingWoodBlock	材料
Item_SpellPaper	材料
Item_SpellPaperLv2	材料
Item_SpellPaperLv3	材料
Item_CottonCloth	材料
Item_DeepBlueCloth	材料
Item_PurpleCloth	材料
Item_YellowCloth	材料
Item_BlueCloth	材料
Item_RedCloth	材料
Item_WhiteCloth	材料
Item_BlackCloth	材料
Item_WoodLeftover	材料
Item_HardWoodLeftover	材料
Item_ParasolWoodLeftover	材料
Item_LingWoodLeftover	材料
Item_BrownRockLeftover	材料
Item_GrayRockLeftover	材料
Item_MarbleLeftover	材料
Item_JadeLeftover	材料
Item_SkyStoneLeftover	材料
Item_LingStoneLeftover	材料
Item_LingCrystalLeftover	材料
Item_IronRockLeftover	材料
Item_CopperRockLeftover	材料
Item_SilverRockLeftover	材料
Item_DarksteelRockLeftover	材料
Item_StarEssenceLeftover	材料
Item_SoulCrystalYou	魂珀
Item_SoulCrystalNing	魂珀
Item_SoulCrystalLing	魂珀
Item_SoulCrystalYuanLing	魂珀
Item_Yao_CatSoul	魂珀
Item_Yao_RabbitLuck	妖兽掉落
Item_Yao_WolfAtk	妖兽掉落
Item_Yao_SnakeHanLin	妖兽掉落
Item_Yao_BearPiMao	妖兽掉落
Item_Yao_TurtleKe	妖兽掉落
Item_Yao_TigerZhui	妖兽掉落
Item_Yao_CattleJiao	妖兽掉落
Item_Yao_ChickenGuan	妖兽掉落
Item_BoarLeather	毛皮
Item_RabbitLeather	毛皮
Item_BearLeather	毛皮
Item_WolfLeather	毛皮
Item_CattleLeather	毛皮
Item_TigerLeather	毛皮
Item_FeiLeather	毛皮
Item_LuShuLeather	毛皮
Item_YaoLeather	毛皮
Item_YaoLeather1	毛皮
Item_HorribleMeal	药食
Item_HomeFood	药食
Item_DeliciousFood	药食
Item_DelicacyFood	药食
Item_GuanyinMud	药食
Item_Water	药食
Item_DirtyWater	药食
Item_Hemostatics	药食
Item_SmallCycle	药食
Item_Plaster	药食
